date,sold,capacity,revenue
2015-01-01,554,984,5037.0
2015-01-02,695,984,6293.0
2015-01-03,585,984,5265.0
2015-01-04,491,984,4419.0
2015-01-05,449,984,4041.0
2015-01-06,429,902,3861.0
2015-01-07,266,984,2394.0
2015-01-08,286,984,2574.0
2015-01-09,557,902,5040.0
2015-01-10,482,984,4338.0
2015-01-11,597,908,5565.0
2015-01-12,384,908,3456.0
2015-01-13,293,908,2637.0
2015-01-14,315,946,2835.0
2015-01-15,455,984,4101.0
2015-01-16,712,984,6949.0
2015-01-17,660,984,6355.0
2015-01-18,681,984,6931.0
2015-01-19,370,984,3330.0
2015-01-20,308,984,2772.0
2015-01-21,332,984,2988.0
2015-01-22,371,984,3357.0
2015-01-23,753,984,7927.0
2015-01-24,670,984,6528.0
2015-01-25,645,984,6653.0
2015-01-26,408,984,3672.0
2015-01-27,334,984,3006.0
2015-01-28,323,984,2907.0
2015-01-29,497,965,4516.0
2015-01-30,812,988,8736.0
2015-01-31,746,984,7105.0
2015-02-01,760,984,7949.0
2015-02-02,520,984,4680.0
2015-02-03,525,984,4755.0
2015-02-04,521,946,4689.0
2015-02-05,641,984,5886.0
2015-02-06,822,984,9005.0
2015-02-07,736,984,7248.0
2015-02-08,744,984,8169.0
2015-02-09,475,984,4275.0
2015-02-10,413,946,3717.0
2015-02-11,463,984,4170.0
2015-02-12,642,984,6278.0
2015-02-13,879,984,9780.0
2015-02-14,708,984,6993.0
2015-02-15,775,984,8742.0
2015-02-16,627,902,5832.0
2015-02-17,576,984,5270.0
2015-02-18,639,984,5923.0
2015-02-19,682,984,6632.0
2015-02-20,808,984,9034.0
2015-02-21,758,984,7579.0
2015-02-22,1043,1565,13628.0
2015-02-23,752,984,7001.0
2015-02-24,647,984,6058.0
2015-02-25,752,902,7634.0
2015-02-26,887,984,9675.0
2015-02-27,1122,1442,14786.0
2015-02-28,868,984,10362.0
2015-03-01,1030,1442,14248.0
2015-03-02,686,984,7034.0
2015-03-03,563,984,5490.0
2015-03-04,526,984,4962.0
2015-03-05,607,903,6530.0
2015-03-06,797,1068,10170.0
2015-03-07,778,984,8752.0
2015-03-08,993,1482,12701.0
2015-03-09,600,984,5859.0
2015-03-10,481,908,4659.0
2015-03-11,479,984,4347.0
2015-03-12,626,984,5844.0
2015-03-13,925,984,11696.0
2015-03-14,813,984,8438.0
2015-03-15,854,984,10785.0
2015-03-16,638,984,6108.0
2015-03-17,509,908,4828.0
2015-03-18,625,908,5817.0
2015-03-19,719,908,7482.0
2015-03-20,910,984,11887.0
2015-03-21,809,984,8652.0
2015-03-22,843,984,10798.0
2015-03-23,610,912,5726.0
2015-03-24,503,984,4638.0
2015-03-25,496,902,4587.0
2015-03-26,685,1476,6228.0
2015-03-27,1249,2056,12682.0
2015-03-28,1029,1968,9318.0
2015-03-29,1021,1886,9771.0
2015-03-30,919,1558,8972.0
2015-03-31,816,1476,8314.0
2015-04-01,873,1476,9491.0
2015-04-02,865,1476,9918.0
2015-04-03,1032,2132,11835.0
2015-04-04,792,1968,7652.0
2015-04-05,636,1394,5973.0
2015-04-06,992,1804,10965.0
2015-04-07,898,1558,8903.0
2015-04-08,662,1476,6006.0
2015-04-09,723,1476,6969.0
2015-04-10,1141,2132,12370.0
2015-04-11,1065,1968,10773.0
2015-04-12,993,1886,11149.0
2015-04-13,694,1558,6555.0
2015-04-14,648,1476,6278.0
2015-04-15,683,1476,6744.0
2015-04-16,862,1476,8895.0
2015-04-17,1283,2132,14512.0
2015-04-18,1047,1968,10923.0
2015-04-19,1146,1886,13205.0
2015-04-20,750,1558,7605.0
2015-04-21,553,1476,5427.0
2015-04-22,609,1476,6188.0
2015-04-23,747,1476,7812.0
2015-04-24,1282,2056,15725.0
2015-04-25,941,1892,10381.0
2015-04-26,1134,1772,13973.0
2015-04-27,734,1558,7704.0
2015-04-28,591,1476,6101.0
2015-04-29,690,1476,7083.0
2015-04-30,1242,2056,14448.0
2015-05-01,932,1394,11156.0
2015-05-02,900,1810,9363.0
2015-05-03,1263,1886,14842.0
2015-05-04,828,1558,9006.0
2015-05-05,578,1476,5994.0
2015-05-06,669,1476,7013.0
2015-05-07,765,1476,8196.0
2015-05-08,1264,2132,15622.0
2015-05-09,989,1968,11070.0
2015-05-10,1105,1886,13772.0
2015-05-11,779,1558,8369.0
2015-05-12,672,1476,6966.0
2015-05-13,1041,2132,12151.0
2015-05-14,869,1394,10808.0
2015-05-15,1054,1476,13029.0
2015-05-16,916,1886,10093.0
2015-05-17,1176,1886,14297.0
2015-05-18,826,1558,8966.0
2015-05-19,662,1476,6943.0
2015-05-20,735,1476,7756.0
2015-05-21,835,1476,9408.0
2015-05-22,1336,2132,16975.0
2015-05-23,1083,1968,11866.0
2015-05-24,839,1394,9713.0
2015-05-25,1137,1804,13465.0
2015-05-26,1045,1558,11843.0
2015-05-27,727,1476,7485.0
2015-05-28,819,1476,8844.0
2015-05-29,1305,2132,16293.0
2015-05-30,968,1968,10746.0
2015-05-31,1139,1886,13649.0
2015-06-01,804,1558,8730.0
2015-06-02,679,1476,7080.0
